timestamp,zone,total
08/02/2023 21:00:00,Gare de Namur,570
08/02/2023 22:00:00,Gare de Namur,442
08/02/2023 23:00:00,Gare de Namur,452
09/02/2023 00:00:00,Gare de Namur,278
09/02/2023 01:00:00,Gare de Namur,232
09/02/2023 02:00:00,Gare de Namur,258
09/02/2023 03:00:00,Gare de Namur,268
09/02/2023 04:00:00,Gare de Namur,271
09/02/2023 05:00:00,Gare de Namur,298
09/02/2023 06:00:00,Gare de Namur,348
09/02/2023 07:00:00,Gare de Namur,2694
09/02/2023 08:00:00,Gare de Namur,1728
09/02/2023 09:00:00,Gare de Namur,1589
09/02/2023 10:00:00,Gare de Namur,1655
09/02/2023 11:00:00,Gare de Namur,1723
09/02/2023 12:00:00,Gare de Namur,1873
09/02/2023 13:00:00,Gare de Namur,1766
09/02/2023 14:00:00,Gare de Namur,1786
09/02/2023 15:00:00,Gare de Namur,2034
09/02/2023 16:00:00,Gare de Namur,1899
09/02/2023 17:00:00,Gare de Namur,1473
09/02/2023 18:00:00,Gare de Namur,1022
09/02/2023 19:00:00,Gare de Namur,898
09/02/2023 20:00:00,Gare de Namur,779
09/02/2023 21:00:00,Gare de Namur,620
09/02/2023 22:00:00,Gare de Namur,477
09/02/2023 23:00:00,Gare de Namur,419
10/02/2023 00:00:00,Gare de Namur,575
10/02/2023 01:00:00,Gare de Namur,282
10/02/2023 02:00:00,Gare de Namur,245
10/02/2023 03:00:00,Gare de Namur,240
10/02/2023 04:00:00,Gare de Namur,206
10/02/2023 05:00:00,Gare de Namur,285
10/02/2023 06:00:00,Gare de Namur,317
10/02/2023 07:00:00,Gare de Namur,2706
10/02/2023 08:00:00,Gare de Namur,1345
10/02/2023 09:00:00,Gare de Namur,1323
10/02/2023 10:00:00,Gare de Namur,1359
10/02/2023 11:00:00,Gare de Namur,1485
10/02/2023 12:00:00,Gare de Namur,1893
10/02/2023 13:00:00,Gare de Namur,1636
10/02/2023 14:00:00,Gare de Namur,1574
10/02/2023 15:00:00,Gare de Namur,1901
10/02/2023 16:00:00,Gare de Namur,1926
10/02/2023 17:00:00,Gare de Namur,1637
10/02/2023 18:00:00,Gare de Namur,1251
10/02/2023 19:00:00,Gare de Namur,895
10/02/2023 20:00:00,Gare de Namur,815
10/02/2023 21:00:00,Gare de Namur,741
10/02/2023 22:00:00,Gare de Namur,614
10/02/2023 23:00:00,Gare de Namur,572
11/02/2023 00:00:00,Gare de Namur,331
11/02/2023 01:00:00,Gare de Namur,294
11/02/2023 02:00:00,Gare de Namur,302
11/02/2023 03:00:00,Gare de Namur,282
11/02/2023 04:00:00,Gare de Namur,225
11/02/2023 05:00:00,Gare de Namur,217
11/02/2023 06:00:00,Gare de Namur,235
11/02/2023 07:00:00,Gare de Namur,291
11/02/2023 08:00:00,Gare de Namur,325
11/02/2023 09:00:00,Gare de Namur,387
11/02/2023 10:00:00,Gare de Namur,427
11/02/2023 11:00:00,Gare de Namur,1123
11/02/2023 12:00:00,Gare de Namur,985
11/02/2023 13:00:00,Gare de Namur,896
11/02/2023 14:00:00,Gare de Namur,917
11/02/2023 15:00:00,Gare de Namur,893
11/02/2023 16:00:00,Gare de Namur,805
11/02/2023 17:00:00,Gare de Namur,821
11/02/2023 18:00:00,Gare de Namur,842
11/02/2023 19:00:00,Gare de Namur,880
11/02/2023 20:00:00,Gare de Namur,386
11/02/2023 21:00:00,Gare de Namur,270
11/02/2023 22:00:00,Gare de Namur,231
11/02/2023 23:00:00,Gare de Namur,196
12/02/2023 00:00:00,Gare de Namur,164
12/02/2023 01:00:00,Gare de Namur,168
12/02/2023 02:00:00,Gare de Namur,183
12/02/2023 03:00:00,Gare de Namur,147
12/02/2023 04:00:00,Gare de Namur,176
12/02/2023 05:00:00,Gare de Namur,209
12/02/2023 06:00:00,Gare de Namur,227
12/02/2023 07:00:00,Gare de Namur,225
12/02/2023 08:00:00,Gare de Namur,227
12/02/2023 09:00:00,Gare de Namur,246
12/02/2023 10:00:00,Gare de Namur,202
12/02/2023 11:00:00,Gare de Namur,199
12/02/2023 12:00:00,Gare de Namur,287
12/02/2023 13:00:00,Gare de Namur,421
12/02/2023 14:00:00,Gare de Namur,270
12/02/2023 15:00:00,Gare de Namur,269
12/02/2023 16:00:00,Gare de Namur,282
12/02/2023 17:00:00,Gare de Namur,556
12/02/2023 18:00:00,Gare de Namur,713
12/02/2023 19:00:00,Gare de Namur,769
12/02/2023 20:00:00,Gare de Namur,476
12/02/2023 21:00:00,Gare de Namur,257
12/02/2023 22:00:00,Gare de Namur,204
12/02/2023 23:00:00,Gare de Namur,158
13/02/2023 00:00:00,Gare de Namur,134
13/02/2023 01:00:00,Gare de Namur,155
13/02/2023 02:00:00,Gare de Namur,166
13/02/2023 03:00:00,Gare de Namur,166
13/02/2023 04:00:00,Gare de Namur,182
13/02/2023 05:00:00,Gare de Namur,245
13/02/2023 06:00:00,Gare de Namur,304
13/02/2023 07:00:00,Gare de Namur,2549
13/02/2023 08:00:00,Gare de Namur,1651
13/02/2023 09:00:00,Gare de Namur,1456
13/02/2023 10:00:00,Gare de Namur,1395
13/02/2023 11:00:00,Gare de Namur,1634
13/02/2023 12:00:00,Gare de Namur,1762
13/02/2023 13:00:00,Gare de Namur,1484
13/02/2023 14:00:00,Gare de Namur,1563
13/02/2023 15:00:00,Gare de Namur,1848
13/02/2023 16:00:00,Gare de Namur,1770
13/02/2023 17:00:00,Gare de Namur,1263
13/02/2023 18:00:00,Gare de Namur,920
13/02/2023 19:00:00,Gare de Namur,798
13/02/2023 20:00:00,Gare de Namur,634
13/02/2023 21:00:00,Gare de Namur,565
13/02/2023 22:00:00,Gare de Namur,481
13/02/2023 23:00:00,Gare de Namur,437
14/02/2023 00:00:00,Gare de Namur,463
14/02/2023 01:00:00,Gare de Namur,268
14/02/2023 02:00:00,Gare de Namur,254
14/02/2023 03:00:00,Gare de Namur,225
14/02/2023 04:00:00,Gare de Namur,272
14/02/2023 05:00:00,Gare de Namur,291
14/02/2023 06:00:00,Gare de Namur,331
14/02/2023 07:00:00,Gare de Namur,2216
14/02/2023 08:00:00,Gare de Namur,1769
14/02/2023 09:00:00,Gare de Namur,1654
14/02/2023 10:00:00,Gare de Namur,1626
14/02/2023 11:00:00,Gare de Namur,1634
14/02/2023 12:00:00,Gare de Namur,1909
14/02/2023 13:00:00,Gare de Namur,1699
14/02/2023 14:00:00,Gare de Namur,1633
14/02/2023 15:00:00,Gare de Namur,1770
