Name,Latitude,Longitude
Hofstade,50.988658,4.498336
Holleken,50.767631,4.353952
Hollerich,49.59516,6.120938
Hony,50.539917,5.573563
Houraing,50.703062,3.835175
Hourpes,50.363692,4.308736
Houyet,50.189868,5.006074
Hove,51.154114,4.465157
Huizingen,50.7519,4.266487
Iddergem,50.876886,4.06849
Idegem,50.801871,3.921553
Ieper,50.847402,2.876593
Ingelmunster,50.914326,3.255416
Izegem,50.921149,3.212088
Jambes,50.454843,4.876144
Jambes-Est,50.454798,4.880261
Jamioulx,50.352896,4.411294
Jemappes,50.452577,3.885587
Jemeppe-sur-Meuse,50.618446,5.497874
Jemeppe-sur-Sambre,50.45095,4.662632
Jette,50.880833,4.32622
Jurbeke,50.530496,3.910694
Juslenville,50.544717,5.809935
Kalmthout,51.391177,4.46682
Kapelle-op-den-Bos,51.010843,4.359121
Kapellen,51.313528,4.432661
Kautenbach,49.952777,6.020003
Kessel,51.151057,4.618459
Keulen Hbf,50.942721,6.958823
Kiewit,50.954841,5.350226
Kijkuit,51.378664,4.467315
Kleinbettingen,49.646389,5.916385
Knokke,51.339894,3.285188
Koksijde,51.079197,2.65277
Komen,50.772072,2.999286
Kontich-Lint,51.134023,4.476358
Kortemark,51.025244,3.043459
Kortenberg,50.893067,4.543301
Kortrijk,50.824506,3.264549
Kwatrecht,50.99175,3.829593
La Louvière-Centrum,50.478161,4.179858
La Louvière-Zuid,50.464974,4.190609
La Roche (Brabant),50.610338,4.539157
Labuissière,50.316328,4.186833
Lamadeleine,49.55334,5.861335
Landegem,51.064311,3.576852
Landelies,50.377311,4.350976
Landen,50.747927,5.07966
Landry,45.574194,6.733522
Landskouter,50.970545,3.791146
Langdorp,51.002466,4.863541
Le Campinaire,50.42383,4.542787
Lebbeke,51.005009,4.134372
Lede,50.970895,3.984981
Leignon,50.267768,5.107778
Leman,50.600396,5.468309
Lembeek,50.715107,4.221577
Lens,50.559342,3.903224
Leopoldsburg,51.117312,5.257287
Les Arcs - Draguignan,43.4555673,6.4826446
Lessen,50.712015,3.836434
Leudelange,49.58712,6.059306
Leuven,50.88228,4.715866
Leuze,50.600612,3.616872
Leval,50.430797,4.211041
Lezennes,50.616666,3.116667
Libramont,49.920434,5.37927
Lichtervelde,51.025163,3.127212
Liedekerke,50.882531,4.095287
Lier,51.135758,4.560614
Lierde,50.816236,3.826564
Liers,50.698181,5.56683
Ligny,50.511726,4.566133
Lillois,50.645423,4.365368
Limal,50.69214,4.575302
Limburg Süd,50.3842,8.063261
Linkebeek,50.773681,4.339434
Lissewege,51.294714,3.194505
Lobbes,50.346469,4.260958
Lodelinsart,50.432451,4.462946
Lokeren,51.108062,3.987794
Lommel,51.211564,5.312031
Londen Saint Pancras,51.5304,0.123808
Londen Waterloo,51.5031,-0.1132
Londerzeel,51.009091,4.299073
Lonzée,50.551935,4.7201
Lorraine TGV,48.9475,6.169722
Lot,50.766364,4.273696
Louvain-la-Neuve,50.669793,4.615745
Luik-Carre,50.640299,5.561131
Luik-Guillemins,50.62455,5.566695
Luik-Sint-Lambertus,50.646349,5.570453
Lustin,50.369000316323856,4.877071380615234
Luttre,50.505856,4.38412
Luxemburg,49.599996,6.133331
Lyon Part Dieu TGV,45.75,4.85
Lyon-Perrache TGV,45.74836,4.825301
Lyon-Saint Exupéry TGV,45.720907,5.075822
Maastricht,50.85,5.705392
Maastricht Randwyck,50.838502,5.716707
Maffle,50.614356,3.800117
Malderen,51.014484,4.22911
Mamer,49.625663,6.02014
Mamer-Lycée,49.618415,6.02968
Manage,50.506108,4.234683
Mannheim Hbf,49.479722,8.469722
Marbehan,49.727337,5.539755
Marche-en-Famenne,50.222472,5.346289
Marche-les-Dames,50.480741,4.96458
Marche-lez-Écaussinnes,50.546173,4.177098
Marchienne-Zone,50.397465,4.388767
Marchienne-au-Pont,50.412171,4.394223
Maria-Aalter,51.107612,3.38673
Mariembourg,50.09549,4.525691
Marloie,50.202821,5.313892
Marne-la-Vallée - Chessy,48.868256,2.782184
Marseille-Saint-Charles,43.303178,5.380752
Masnuy-Saint-Pierre,50.536546,3.962139
Massy TGV,48.725758,2.261254
Maubeuge,50.27289,3.966566
Maubray,50.547557,3.495527
Mazy,50.513497,4.675829
Mechelen,51.017648,4.482785
Mechelen-Nekkerspoel,51.029883,4.489914
Meer-Grens,51.48573529673874,4.734469757625622
Meiser,50.854072,4.394421
Melkouwen,51.094938,4.671532
Melle,51.002807,3.797088
Melle PW,51.01394,3.77939
Melreux-Hotton,50.28367,5.440136
Melsele,51.21071,4.286766
Menen,50.799489,3.113791
Merchtem,50.954958,4.222718
Merelbeke,51.017531,3.768889
Merode,50.839284,4.398934
Mersch,49.748893,6.106111
Messancy,49.592777,5.818915
Metz,49.13333,6.166663
Mevergnies-Attre,50.600108,3.833917
Michelau,49.89729,6.09149
Milmort,50.692455,5.60009
Moensberg,50.77832,4.330733
