timestamp,zone,total
12/02/2023 03:00:00,Gare de Charleroi,283
12/02/2023 04:00:00,Gare de Charleroi,299
12/02/2023 05:00:00,Gare de Charleroi,274
12/02/2023 06:00:00,Gare de Charleroi,493
12/02/2023 07:00:00,Gare de Charleroi,395
12/02/2023 08:00:00,Gare de Charleroi,422
12/02/2023 09:00:00,Gare de Charleroi,399
12/02/2023 10:00:00,Gare de Charleroi,430
12/02/2023 11:00:00,Gare de Charleroi,501
12/02/2023 12:00:00,Gare de Charleroi,499
12/02/2023 13:00:00,Gare de Charleroi,490
12/02/2023 14:00:00,Gare de Charleroi,561
12/02/2023 15:00:00,Gare de Charleroi,518
12/02/2023 16:00:00,Gare de Charleroi,539
12/02/2023 17:00:00,Gare de Charleroi,529
12/02/2023 18:00:00,Gare de Charleroi,533
12/02/2023 19:00:00,Gare de Charleroi,512
12/02/2023 20:00:00,Gare de Charleroi,421
12/02/2023 21:00:00,Gare de Charleroi,429
12/02/2023 22:00:00,Gare de Charleroi,370
12/02/2023 23:00:00,Gare de Charleroi,400
13/02/2023 00:00:00,Gare de Charleroi,299
13/02/2023 01:00:00,Gare de Charleroi,344
13/02/2023 02:00:00,Gare de Charleroi,273
13/02/2023 03:00:00,Gare de Charleroi,255
13/02/2023 04:00:00,Gare de Charleroi,241
13/02/2023 05:00:00,Gare de Charleroi,389
13/02/2023 06:00:00,Gare de Charleroi,547
13/02/2023 07:00:00,Gare de Charleroi,934
13/02/2023 08:00:00,Gare de Charleroi,943
13/02/2023 09:00:00,Gare de Charleroi,945
13/02/2023 10:00:00,Gare de Charleroi,1004
13/02/2023 11:00:00,Gare de Charleroi,1089
13/02/2023 12:00:00,Gare de Charleroi,1066
13/02/2023 13:00:00,Gare de Charleroi,1144
13/02/2023 14:00:00,Gare de Charleroi,1156
13/02/2023 15:00:00,Gare de Charleroi,1125
13/02/2023 16:00:00,Gare de Charleroi,954
13/02/2023 17:00:00,Gare de Charleroi,822
13/02/2023 18:00:00,Gare de Charleroi,755
13/02/2023 19:00:00,Gare de Charleroi,572
13/02/2023 20:00:00,Gare de Charleroi,482
13/02/2023 21:00:00,Gare de Charleroi,478
13/02/2023 22:00:00,Gare de Charleroi,384
13/02/2023 23:00:00,Gare de Charleroi,357
14/02/2023 00:00:00,Gare de Charleroi,286
14/02/2023 01:00:00,Gare de Charleroi,266
14/02/2023 02:00:00,Gare de Charleroi,277
14/02/2023 03:00:00,Gare de Charleroi,262
14/02/2023 04:00:00,Gare de Charleroi,252
14/02/2023 05:00:00,Gare de Charleroi,254
14/02/2023 06:00:00,Gare de Charleroi,487
14/02/2023 07:00:00,Gare de Charleroi,718
14/02/2023 08:00:00,Gare de Charleroi,899
14/02/2023 09:00:00,Gare de Charleroi,935
14/02/2023 10:00:00,Gare de Charleroi,981
14/02/2023 11:00:00,Gare de Charleroi,1125
14/02/2023 12:00:00,Gare de Charleroi,979
14/02/2023 13:00:00,Gare de Charleroi,1102
14/02/2023 14:00:00,Gare de Charleroi,1064
14/02/2023 15:00:00,Gare de Charleroi,1055
14/02/2023 16:00:00,Gare de Charleroi,942
14/02/2023 17:00:00,Gare de Charleroi,785
14/02/2023 18:00:00,Gare de Charleroi,628
14/02/2023 19:00:00,Gare de Charleroi,561
14/02/2023 20:00:00,Gare de Charleroi,450
14/02/2023 21:00:00,Gare de Charleroi,391
14/02/2023 22:00:00,Gare de Charleroi,398
14/02/2023 23:00:00,Gare de Charleroi,371
15/02/2023 00:00:00,Gare de Charleroi,265
15/02/2023 01:00:00,Gare de Charleroi,271
15/02/2023 02:00:00,Gare de Charleroi,325
15/02/2023 03:00:00,Gare de Charleroi,358
15/02/2023 04:00:00,Gare de Charleroi,271
15/02/2023 05:00:00,Gare de Charleroi,290
15/02/2023 06:00:00,Gare de Charleroi,522
15/02/2023 07:00:00,Gare de Charleroi,777
15/02/2023 08:00:00,Gare de Charleroi,778
15/02/2023 09:00:00,Gare de Charleroi,869
15/02/2023 10:00:00,Gare de Charleroi,884
